CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MODEL,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,EAF_PCT,UCF_PCT,NON_ELEC
ar,ARGENTINA,AR-1,ATUCHA-1,PHWR,PHWR KWU,1179,362,340,NASA,SIEMENS,06-1968,03-1974,06-1974,81.6,81.8,-
ar,ARGENTINA,AR-3,ATUCHA-2,PHWR,PHWR KWU,2160,745,693,NASA,SIEMENS,07-1981,06-2020,05-2020,56.8,56.8,-
ar,ARGENTINA,AR-2,EMBALSE,PHWR,CANDU 6,2064,656,608,NASA,AECL,04-1974,04-1983,01-1984,54.8,54.9,-
am,ARMENIA,AM-19,ARMENIAN-2,PWR,VVER V-270,1375,408,375,ANPPCJSC,FAEA,07-1975,01-1980,05-1980,66.9,68.8,-
be,BELGIUM,BE-2,DOEL-1,PWR,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,07-1969,08-1974,02-1975,80.9,81.3,-
be,BELGIUM,BE-4,DOEL-2,PWR,WH 2LP,1311,454,433,EBL+EDF,ACECOWEN,09-1971,08-1975,12-1975,80.9,81.4,-
be,BELGIUM,BE-5,DOEL-3,PWR,WH 3LP,3054,1056,1006,EBL+EDF,FRAMACEC,01-1975,06-1982,10-1982,58.2,58.4,-
be,BELGIUM,BE-7,DOEL-4,PWR,WH 3LP,2988,1090,1038,EBL+EDF,ACECOWEN,12-1978,04-1985,07-1985,82.7,83,-
be,BELGIUM,BE-3,TIHANGE-1,PWR,Framatome 3 lo,2873,1009,962,EBL,ACLF,06-1970,03-1975,10-1975,74.4,75.4,-
be,BELGIUM,BE-6,TIHANGE-2,PWR,WH 3LP,3064,1055,1008,EBL,FRAMACEC,04-1976,10-1982,06-1983,60.2,60.4,-
be,BELGIUM,BE-8,TIHANGE-3,PWR,WH 3LP,3000,1089,1038,EBL,ACECOWEN,11-1978,06-1985,09-1985,84.1,85,-
br,BRAZIL,BR-1,ANGRA-1,PWR,WH 2LP,1882,640,609,ELETRONU,WH,05-1971,04-1982,01-1985,84.7,84.9,-
